"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\driver.java", "Java", 0, 0, -1, -1
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\assist_edit_sWindow.java", "Java", 146, 1, 19, 166
"c:\Users\Juan Diego\Desktop\Lancaster University Leipzig\2nd Year\230 - Software Design Studio Project I\Code\adminApp\navigation\administration\shifts_Window\edit_sWindow.java", "Java", -78, 0, -10, -88
"Total", "-", 68, 1, 8, 77
